City,City2,LOC_FINAL,type,Junevisits,Julyvisits,SAL_SP,FROG_SP,SNAKE_SP,LIZARD_SP,TURTLE_SP,RARE_SP,RBS_OBS,AMTO_OBS,GRFR_OBS,GART_OBS,HABITAT_NUM,forest10,field10,stream10,pond10,area,perimeter,road_length,imperv,CONN100,CONN500,CONN1000,forestcover,wetland_types,species pool,exoREPS,exoAMPH,sliders,landscaped
Philadelphia,Philadelphia,Monk's Dog Run,Single,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,20275,602,0,38.59090909,6.90E-12,7.05E-01,2.78E+01,0,0,32,0,0,0,YES
Philadelphia,Philadelphia,Morris Arboretum ,Single,875,653,0,2,1,0,0,1,0,1,1,0,3,1,1,1,0,440472,4238,0,3.417695473,2.92E-08,3.14E+00,9.89E+01,39.67901235,2,32,1,0,1,YES
Philadelphia,Philadelphia,Morris Park,Single,875,653,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,497798,4438,158.0232387,1.883303411,1.13E-17,2.95E-01,3.96E+01,63.18850987,2,32,0,0,0,NO
Philadelphia,Philadelphia,Neighbors Woodland,Single,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1518,156,0,54,7.58E-08,1.24E+01,2.68E+02,6,0,32,0,0,0,NO
Philadelphia,Philadelphia,Penn Park,Single,1998,1698,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,70609,1436,0,92.66666667,1.33E-01,7.63E+01,3.33E+02,0,0,32,0,0,0,YES
Philadelphia,Philadelphia,Penn Treaty Park,Single,580,404,0,1,1,0,0,0,0,0,0,1,2,0,1,1,0,32389,778,0,27.71052632,1.03E-03,9.61E+00,5.02E+01,4.315789474,1,32,1,0,1,YES
Philadelphia,Philadelphia,PENNYPACK PARK,Multiple,NA,NA,2,3,5,0,2,2,1,7,4,8,3,1,1,1,0,6520810,38205,9625.462962,3.677374879,1.48E-18,9.91E-02,1.52E+01,59.61546946,4,32,0,0,0,NO
Philadelphia,Philadelphia,Philadelphia Zoo,Single,7243,4973,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,209844,2309,1588.699821,42.21030043,2.37E-05,7.34E+01,5.26E+02,15.88841202,1,32,0,0,0,YES
Philadelphia,Philadelphia,Pleasant Hill Park,Single,NA,NA,0,0,2,0,1,0,0,0,0,3,3,0,1,1,1,175924,2501,0,21.68717949,2.67E-18,1.65E-01,2.14E+01,10.12820513,4,32,1,0,1,YES
Philadelphia,Philadelphia,Schuylkill Center for Environmental Education,Single,81,77,5,4,3,0,2,6,10,17,103,2,3,1,1,1,0,1283985,5172,0,0.319104269,2.12E-02,58.63282905,288.6468265,67.53813856,2,32,1,0,1,NO
Philadelphia,Philadelphia,Tacony Creek Park,Single,5416,4809,1,2,3,0,2,0,2,0,3,11,3,1,1,1,0,1270904,17366,2240.927933,5.94241573,1.34E-09,3.22E+00,6.50E+01,48.15941011,4,32,1,0,1,NO
Philadelphia,Philadelphia,The Hood Cemetery,Single,NA,NA,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4641,305,0,15.85714286,9.79E-02,1.27E+02,4.55E+02,44.71428571,0,32,0,0,0,YES
Philadelphia,Philadelphia,The Spring Gardens,Single,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6797,353,0,47.11111111,4.78E-08,9.80E+00,1.78E+02,0,0,32,0,0,0,YES
Philadelphia,Philadelphia,The Woodlands Community Garden,Single,NA,NA,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,217144,1944,0,15.20247934,8.61E-01,8.75E+01,3.53E+02,21.25206612,0,32,0,0,0,YES
